Text,Class
"Mississippi Highway 403 and MS 15 in Mathiston, and it travels north away from the town. It then turns east near Natchez Trace Parkway and then travels below it. MS 403 ends at the intersection of Clarkson Road and Old US 82 near a county highway maintenance barn. The route was designated by 1960, after a paved road extending from Mathiston was constructed around 1958. An extension northwards to MS 50 and MS 341 existed from 1960 to 1967.",0
"State Route 97 northwest of Congress northeast to SR 96 southeast of Bagdad. The road was built by the late 1930s and improved during the late 1940s. Established as a state route in 1962, SR 97 was paved in the early 1970s. In 2000, the highway was officially added to the State Highway system.",0
"Edwin B. Erickson III was an American politician. He served multiple terms on the Council of Delaware County, Pennsylvania, including two years as its chairman. He was later elected to the Pennsylvania Senate, representing the 26th District from 2001 to 2015. The district included most of Delaware County and parts of Chester County. From 1989 to 1992, Erickson served as a regional administrator of the U.S. Environmental Protection Agency for Region III, which encompassed several states in the Mid-Atlantic region.",0
"The Tiger Fire was a wildfire that burned 16,278 acres in the U.S. state of Arizona from June to July 2021. The fire was caused by a dry lightning strike in the Prescott National Forest. Although Horsethief Basin Lake was evacuated and both the community of Crown King and the census-designated place of Black Canyon City were threatened, no injuries or deaths were reported, and no buildings were destroyed. Over 300 fire personnel were assigned to contain the blaze.",0
"Fajsz , was Grand Prince of the Hungarians from about 950 to around 955. All information on him comes from De administrando imperio, a book written by the Byzantine Emperor Constantine VII Porphyrogenitus. No other contemporary source or later Hungarian chronicle preserved his name, suggesting that he did not take an active role in the politics of the Hungarian tribes' confederation.",0
"The Boat Race 2000 was the annual rowing competition between the universities of Oxford and Cambridge in England. Held on April 2nd, 2000, the race took place on the River Thames in London. Oxford emerged victorious, beating Cambridge by seven lengths. The Oxford team, led by President Matthew Dundas, showcased remarkable speed and dominance throughout the race. The victory marked Oxford's fourth consecutive win in the competition, solidifying their status as a powerhouse in collegiate rowing.",1
"Kevin King is an American football player who currently serves as a cornerback for the Green Bay Packers in the National Football League . Born on May 5, 1995, he attended the University of Washington where he played college football. In 2017, King was selected by the Packers in the second round of the NFL Draft. Known for his height and athleticism, he has proven to be a valuable asset to the Packers defense. Throughout his career, King has displayed solid coverage skills and has shown the ability to make crucial game-changing plays.",1
"Saint Kitts and Nevis participated in the 1996 Summer Olympics held in Atlanta, USA. Although they did not win any medals, they were represented by athletes in athletics and swimming events, showcasing their commitment and participation in the international sporting event.",1
"Amanda E. Clement was an American baseball umpire who was the first woman paid to referee a game, and may have also been the first woman to referee a high school basketball game. Clement served as an umpire on a regular basis for six years, and served occasionally for several decades afterwards. An accomplished athlete in multiple disciplines, Clement competed in baseball, basketball, track, gymnastics, and tennis, and has been attributed world records in shot put, sprinting, hurdling, and baseball.",0
"Hong Kong participated in the 2006 Winter Olympics, held in Turin, Italy, with a delegation of six athletes competing in three sports. Although the city has no snow and ice fields, it received quota spots in figure skating, short track speed skating, and freestyle skiing through the International Ski Federation's allocation system. Unfortunately, none of the Hong Kong athletes managed to obtain medals at the Games, but their participation helped promote winter sports awareness and development in the region.",1
John Triscari is a professional surfer known for his powerful and graceful style. He has achieved success in various competitions and is highly regarded for his innovative approach to wave riding.,1
"Harry Bassett was an American Thoroughbred racehorse, winner of the 1871 Belmont Stakes and an outstanding racehorse of the 19th century. He also won a number of other stakes races, and was named the Champion male of his age group in 1870, 1871 and 1872. He was retired to stud duties in New Jersey when his five-year racing career ended, having recorded 23 wins from 36 starts. Harry Bassett died in New Jersey in 1878 and was inducted into the United States Racing Hall of Fame in 2010.",0
"Cyprus made its debut appearance at the 1994 Winter Olympics in Lillehammer, Norway. The country's sole representative was alpine skier Andri Antoniou. Despite facing tough competition from more experienced athletes, Antoniou showcased his determination and finished 52nd in the men's slalom event. Cyprus marked its entry into the Winter Olympics, displaying its commitment to promoting winter sports and expanding its presence in the international sports community.",1
"M-136 is a state trunkline highway in the US state of Michigan that runs from Brockway to Fort Gratiot in the lower part of The Thumb of the Lower Peninsula. The highway serves as a connector between M-19 on the west and M-25 northwest of Port Huron. In between, the highway runs through rural St. Clair County through farm fields and along a creek and river. The trunkline uses roads that were part of the state highway system in 1919. The M-136 designation was assigned in 1931 and extended to its current length in 1961.",0
"Miranda Du is a fictional character from the ""Suits"" television series, portrayed by actress Christina Cole. Described as a partner at a top British law firm, she is introduced in Season 2 as a love interest for Harvey Specter, one of the show's main characters. Miranda is known for her intelligence, ambition, and formidable legal skills, making her a formidable adversary and romantic interest for Harvey.",1
"The Black Buttes, also known historically as the Sawtooth Rocks, make up an extinct stratovolcano in the Cascade Volcanic Arc in Whatcom County, Washington, United States. Glacially eroded remnants of this volcano rise above the Deming Glacier, part of the glacier system of the nearby volcano, Mount Baker. There are three major peaks — Colfax, Lincoln, and Seward — all of which can be climbed.The volcano was last active during the mid-Pleistocene from 495,000 to 288,000 years ago. Mount Baker, a much younger volcano, sits on top of lava erupted from Black Buttes Volcano.",0
"Annunciation Seminary is a Catholic seminary located in Pengzhou, China. Founded in 1999, the seminary aims to educate and train individuals who aspire to become priests in the Catholic Church. Led by a team of dedicated faculty and staff, the institution provides a comprehensive curriculum encompassing theological studies, pastoral training, and spiritual formation. The seminary is known for its emphasis on academic excellence, fostering a deep understanding of Catholic teachings, and nurturing the spiritual growth of its students. The Annunciation Seminary plays a vital role in preparing future priests to serve effectively in their communities and promote the teachings of the Catholic faith.",1
